Source_orig,Target_orig,Source,Target
RPHA-0158,RPHA-0167,Pap Benedek,Batthyány Orbán
RPHA-1453,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-1296,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0233,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0185,RPHA-0160,Balassi Bálint,Pap Benedek
RPHA-0165,RPHA-1301,Bornemisza Péter,Szkhárosi Horvát András
RPHA-1366,RPHA-0167,Szegedi Gergely,Batthyány Orbán
RPHA-0218,RPHA-0167,Bogáti Fazakas Miklós,Batthyány Orbán
RPHA-0170,RPHA-0322,Bogáti Fazakas Miklós,Ráskai Gáspár
RPHA-1338,RPHA-0171,Skarica Máté,Thordai Benedek
RPHA-0197,RPHA-0171,Bogáti Fazakas Miklós,Thordai Benedek
RPHA-1034,RPHA-0172,Sztárai Miklós,Békési Balázs
RPHA-0359,RPHA-0172,Pécsi János,Békési Balázs
RPHA-0173,RPHA-0996,Bogáti Fazakas Miklós,Chasee Miklós
RPHA-0175,RPHA-3020,Balassi Bálint,Dobó Jakab
RPHA-1110,RPHA-0182,Pap Benedek,György deák
RPHA-0185,RPHA-1110,Balassi Bálint,Pap Benedek
RPHA-0185,RPHA-0825,Balassi Bálint,Ládonyi Sára
RPHA-1110,RPHA-0185,Pap Benedek,Balassi Bálint
RPHA-0825,RPHA-0185,Ládonyi Sára,Balassi Bálint
RPHA-0186,RPHA-0185,Rimay János,Balassi Bálint
RPHA-0189,RPHA-1249,Illyefalvi István,Pataki Névtelen
RPHA-0194,RPHA-1243,Tatár Benedek,Tinódi Sebestyén
RPHA-0198,RPHA-0661,Bogáti Fazakas Miklós,Farkas András
RPHA-0198,RPHA-0249,Bogáti Fazakas Miklós,Dési János
RPHA-0199,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-0199,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-0199,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-0199,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-0199,RPHA-0202,Szegedi Gergely,Szegedi Gergely
RPHA-1471,RPHA-0199,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0513,RPHA-0199,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0202,RPHA-0199,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-0202,RPHA-1298,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-0202,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-0202,RPHA-0983,Szegedi Gergely,Sztárai Mihály
RPHA-0202,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-0202,RPHA-0549,Szegedi Gergely,Skarica Máté
RPHA-0211,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0211,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0211,RPHA-0549,Bogáti Fazakas Miklós,Skarica Máté
RPHA-1478,RPHA-0213,Úz Bálint,Bereki István
RPHA-0217,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0220,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-1492,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1491,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1359,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1331,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1330,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1303,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1128,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1119,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-1093,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0984,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0908,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0724,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0709,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0559,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0534,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0400,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0386,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0378,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0319,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0316,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0305,RPHA-0220,Balassi Bálint,Balassi Bálint
RPHA-0226,RPHA-0291,Debreceni Szőr Gáspár,"Skarica Máté, Sztárai Mihály (?)"
RPHA-0229,RPHA-0229,Rimay János,Rimay János
RPHA-0237,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-0239,RPHA-1496,Skarica Máté,Zeleméri László
RPHA-0239,RPHA-1298,Skarica Máté,Szegedi Gergely
RPHA-0239,RPHA-1209,Skarica Máté,Skarica Máté
RPHA-0239,RPHA-1024,Skarica Máté,Szegedi Gergely
RPHA-0239,RPHA-0668,Skarica Máté,Bereki István
RPHA-0242,RPHA-1243,Szegedi Gergely,Tinódi Sebestyén
RPHA-0242,RPHA-1219,Szegedi Gergely,Szkhárosi Horvát András
RPHA-0242,RPHA-0590,Szegedi Gergely,István deák
RPHA-0242,RPHA-0478,Szegedi Gergely,Sztárai Mihály
RPHA-1481,RPHA-0242,Majssai Benedek,Szegedi Gergely
RPHA-1432,RPHA-0242,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1091,RPHA-0242,Batizi András,Szegedi Gergely
RPHA-0723,RPHA-0242,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0590,RPHA-0242,István deák,Szegedi Gergely
RPHA-0284,RPHA-0242,Majssai Benedek,Szegedi Gergely
RPHA-0261,RPHA-0430,Bogáti Fazakas Miklós,Pesti György
RPHA-0275,RPHA-0281,Bogáti Fazakas Miklós,Dóczy Ilona
RPHA-0277,RPHA-0478,Szerémi Illés,Sztárai Mihály
RPHA-1263,RPHA-0280,Sztárai Mihály,Váradi Névtelen
RPHA-1159,RPHA-0280,Bogáti Fazakas Miklós,Váradi Névtelen
